countries_and_territories,date,daily_confirmed_cases,daily_deaths,confirmed_cases,deaths,pop_data_2019
Croatia,2020-04-29,8,4,2047,63,4076246
Croatia,2020-04-30,15,4,2062,67,4076246
Croatia,2020-08-03,36,4,5260,149,4076246
Croatia,2020-08-04,36,4,5296,153,4076246
Croatia,2020-09-03,311,4,10725,191,4076246
Croatia,2020-09-21,197,4,14922,248,4076246
Croatia,2020-09-25,232,4,15572,261,4076246
Croatia,2020-10-02,234,4,16827,284,4076246
Croatia,2020-10-07,287,4,18084,304,4076246
Croatia,2020-10-11,486,4,19932,317,4076246
Croatia,2020-10-15,748,4,21741,334,4076246
Croatia,2020-07-26,77,5,4792,133,4076246
Croatia,2020-09-22,70,5,14992,253,4076246
Croatia,2020-09-26,223,5,15795,266,4076246
Croatia,2020-10-01,213,5,16593,280,4076246
Croatia,2020-10-05,258,5,17659,298,4076246
Croatia,2020-10-08,363,5,18447,309,4076246
Croatia,2020-04-15,54,6,1704,31,4076246
Croatia,2020-05-02,9,6,2085,75,4076246
Croatia,2020-09-14,165,6,13533,224,4076246
Croatia,2020-09-17,280,6,14029,236,4076246
Croatia,2020-09-19,234,6,14513,244,4076246
Croatia,2020-09-13,261,7,13368,218,4076246
Croatia,2020-10-03,333,7,17160,291,4076246
Croatia,2020-10-12,508,7,20440,324,4076246
Croatia,2020-10-24,1867,7,31717,413,4076246
Croatia,2020-04-20,39,8,1871,47,4076246
Croatia,2020-10-19,819,8,25580,363,4076246
Croatia,2020-10-21,890,8,26863,382,4076246
Croatia,2020-10-26,2421,8,36380,437,4076246
Croatia,2020-10-16,793,10,22534,344,4076246
Croatia,2020-10-18,1096,10,24761,355,4076246
Croatia,2020-10-20,393,11,25973,374,4076246
Croatia,2020-10-22,1424,11,28287,393,4076246
Croatia,2020-10-23,1563,13,29850,406,4076246
