countries_and_territories,max_confirmed_cases,max_percent_pop_sick,Total_cases,Total_deaths,deaths_to_confirmed_ratio
Greece,124534,1.1611995935698856,5591726,130731,2.3379364439530836
Kenya,91892,0.17478612561232063,7178602,128939,1.7961575248216854
Azerbaijan,175874,1.7503873267156456,9273932,120266,1.2968177899083151
Australia,28031,0.11122000380904012,4565976,115817,2.5365223119876235
Kuwait,146218,3.4755246932727877,18165404,115609,0.63642405090467569
Puerto_Rico,107158,3.653025631655237,8041199,109506,1.3618118392543201
Jordan,259614,2.5700038320294105,9055226,107397,1.1860223035846924
Myanmar,108342,0.20046471281138298,4663485,103535,2.2201207894954096
Yemen,2083,0.0071428762480058756,344795,98052,28.43776736901637
Croatia,175886,4.314901504963145,6376825,96678,1.5160836309605485
Nepal,248423,0.86834728508428294,16643146,96633,0.58061739048614969
Kosovo,46580,2.5899274175343314,3034440,96029,3.1646366380617179
South_Korea,43484,0.084887706218571085,5066125,91383,1.8038046830664463
Venezuela,107177,0.37585090021405304,10288732,88374,0.85893966331322458
United_Arab_Emirates,184949,1.8929277707259569,18714220,88027,0.47037493414099013
Libya,90779,1.3394264777638443,5874310,86851,1.4784885373771559
Cameroon,25143,0.097165806030030388,3768959,80880,2.1459506457883992
Finland,30810,0.55836267259450523,2614176,79705,3.0489530926762392
Lebanon,146520,2.137196896776103,8121200,69736,0.85869083386691625
Albania,48530,1.6954144158086826,2755182,68443,2.4841553116999164
Uzbekistan,75094,0.22768373324431432,8342190,64823,0.77705015109941156
Norway,40022,0.75113377620860433,3562597,64499,1.8104489505829595
Palestine,124657,2.5024380588514683,7880636,60430,0.7668162823406639
Slovenia,96314,4.6284602683059513,3651620,57796,1.5827495741616051
Georgia,191063,4.7804447700413482,5612066,50834,0.9057983281023424
Democratic_Republic_of_the_Congo,14512,0.016720710941769617,1953396,50099,2.5647129409500176
Senegal,17075,0.10477798664511749,2478173,48768,1.967901353133942
Ghana,53014,0.17428577646723184,7702956,47117,0.61167427153939347
Zambia,18274,0.10231210578290149,2088419,46295,2.2167486505342082
Malaysia,83475,0.2612693310744556,4539883,41296,0.90962696615749794
Bahrain,89143,5.4316936028331115,11276009,40968,0.3633200363710245
Slovakia,132984,2.439884918981488,5468030,37028,0.677172583178951
Qatar,140961,4.9773116563814961,23953059,36935,0.15419742422043048
Haiti,9565,0.084923492057544833,1537912,36891,2.3987718413017127
Luxembourg,41272,6.7229847498102275,2622072,35302,1.3463398411637819
Lithuania,95021,3.4006708219644808,2754936,34220,1.2421341185421368
Montenegro,41426,6.6581804038046739,2219019,33771,1.5218887265048204
Syria,9166,0.053696128418924939,652233,32071,4.9171078433627242
Madagascar,17638,0.0654002739262182,2408404,31672,1.3150617587414737
Zimbabwe,11246,0.076788233469823747,1110612,30717,2.765772384955322
Angola,16188,0.050865193756702808,1026533,29475,2.8713153887892546
Mauritania,10780,0.23819530158662819,1262151,29445,2.3329221305533174
Mali,5814,0.02957571063987462,623979,27044,4.3341202187894146
Malawi,6066,0.032562573042344389,871046,25814,2.9635633479747336
Nicaragua,5887,0.08993961197481691,841434,25275,3.0038006545967955
Cuba,9423,0.083143012334071328,1010912,24138,2.3877449273527267
Cote_dIvoire,21680,0.084303674590304745,3308461,21381,0.64625213958997862
Somalia,4579,0.029651155035198686,730956,21175,2.8968911945452258
Jamaica,11710,0.39718113325172633,927593,18484,1.9926842914942222
Chad,1770,0.011099348449433563,243211,17787,7.3134027654999159
Estonia,18055,1.3628266481484277,943169,17032,1.8058269514795333
Niger,2258,0.0096865309045165021,280533,15676,5.5879343963098815
Eswatini,6768,0.58947874505828157,789584,14858,1.8817503900788264
