countries_and_territories,date,daily_confirmed_cases,daily_deaths,confirmed_cases,deaths,pop_data_2019,death_percentage,percent_pop_sick
Poland,2020-06-03,230,18,24395,1092,37972812,4.4763271162123388,0.064243332835082115
Poland,2020-06-04,292,23,24687,1115,37972812,4.5165471705756062,0.0650123040663936
Poland,2020-06-06,371,20,25419,1137,37972812,4.4730319839490145,0.0669399990709142
Poland,2020-06-07,567,16,25986,1153,37972812,4.4370045409066421,0.0684331726604814
Poland,2020-06-10,400,17,27560,1183,37972812,4.2924528301886786,0.072578243612824875
Poland,2020-06-11,197,23,27757,1206,37972812,4.3448499477609248,0.07309703584764804
Poland,2020-06-14,440,15,29017,1237,37972812,4.263018230692353,0.076415199380019574
Poland,2020-06-17,407,16,30195,1272,37972812,4.2126179831097863,0.079517418936474862
Poland,2020-06-18,506,14,30701,1286,37972812,4.1887886388065541,0.080849951275665341
Poland,2020-06-19,314,30,31015,1316,37972812,4.2431081734644529,0.081676858695637289
Poland,2020-06-20,301,18,31316,1334,37972812,4.2598032954400313,0.082469531095037157
Poland,2020-06-24,300,16,32527,1375,37972812,4.2272573554277981,0.085658654934483131
Poland,2020-06-25,294,21,32821,1396,37972812,4.2533743639742845,0.086432893092036486
Poland,2020-06-26,298,16,33119,1412,37972812,4.26341375041517,0.087217665102073558
Poland,2020-06-27,276,17,33395,1429,37972812,4.2790836951639468,0.087944500923450186
Poland,2020-07-01,239,19,34393,1463,37972812,4.2537725699997093,0.0905726971181381
Poland,2020-07-02,382,14,34775,1477,37972812,4.2473040977713872,0.091578680030333287
Poland,2020-07-03,371,15,35146,1492,37972812,4.2451488078301942,0.092555694848198228
Poland,2020-07-04,259,15,35405,1507,37972812,4.25646095184296,0.093237761796519047
Poland,2020-07-09,277,14,36689,1542,37972812,4.2028946005614767,0.09661912844379289
Poland,2020-07-31,615,15,45031,1709,37972812,3.7951633319268949,0.11858747779858916
Poland,2020-08-06,640,18,48789,1756,37972812,3.5991719444956853,0.1284840322070433
Poland,2020-08-07,726,18,49515,1774,37972812,3.582752701201656,0.13039592643283832
Poland,2020-08-14,811,14,54487,1844,37972812,3.3842935012021216,0.14348950507010119
Poland,2020-08-15,832,14,55319,1858,37972812,3.3587013503497896,0.14568054638671479
Poland,2020-08-20,735,17,58611,1913,37972812,3.2638924433979968,0.15434990698081566
Poland,2020-08-26,763,17,63073,1977,37972812,3.1344632410064528,0.16610041942640436
Poland,2020-08-27,729,17,63802,1994,37972812,3.1252938779348609,0.16802021404156217
Poland,2020-08-28,887,16,64689,2010,37972812,3.1071743263924314,0.17035609582982689
Poland,2020-08-30,759,14,66239,2032,37972812,3.067679161823095,0.17443796366726805
Poland,2020-09-02,550,19,67922,2058,37972812,3.0299461146609348,0.17887008209979288
Poland,2020-09-03,595,20,68517,2078,37972812,3.0328239706934044,0.18043699265674609
Poland,2020-09-04,612,14,69129,2092,37972812,3.0262263304835888,0.18204867208675513
Poland,2020-09-15,377,15,74529,2203,37972812,2.9558963624897689,0.19626937293977598
Poland,2020-09-16,605,24,75134,2227,37972812,2.9640375861793595,0.19786261812793851
Poland,2020-09-18,837,16,76571,2253,37972812,2.9423672147418736,0.20164690463271459
Poland,2020-09-19,757,17,77328,2270,37972812,2.935547279122698,0.20364043621525843
Poland,2020-09-23,711,18,80699,2316,37972812,2.8699240387117562,0.21251784039591276
Poland,2020-09-24,974,28,81673,2344,37972812,2.8699815116378731,0.21508283347569834
Poland,2020-09-25,1136,25,82809,2369,37972812,2.8608001545725705,0.21807444758107458
Poland,2020-09-26,1587,23,84396,2392,37972812,2.8342575477510783,0.22225375355399016
Poland,2020-09-27,1584,32,85980,2424,37972812,2.8192602930914168,0.22642515913754291
Poland,2020-09-29,1306,15,88636,2447,37972812,2.7607292747867684,0.23341963718673245
Poland,2020-09-30,1326,36,89962,2483,37972812,2.7600542451257195,0.23691160928508534
Poland,2020-10-01,1552,30,91514,2513,37972812,2.7460279301527635,0.24099874404876839
Poland,2020-10-02,1967,30,93481,2543,37972812,2.7203388923952461,0.24617876600763725
Poland,2020-10-03,2292,27,95773,2570,37972812,2.6834285236966577,0.25221466348080829
Poland,2020-10-04,2367,34,98140,2604,37972812,2.6533523537803139,0.25844807068804915
Poland,2020-10-06,3940,55,102080,2659,37972812,2.604819749216301,0.2688239153845125
Poland,2020-10-07,2236,58,104316,2717,37972812,2.6045860654166186,0.27471233892291147
Poland,2020-10-08,3003,75,107319,2792,37972812,2.60158965327668,0.2826206286750636
Poland,2020-10-09,4280,75,111599,2867,37972812,2.5690194356580256,0.29389185083264308
Poland,2020-10-10,4739,52,116338,2919,37972812,2.5090684041327855,0.30637183256272932
Poland,2020-10-11,5300,53,121638,2972,37972812,2.4433154113023892,0.32032918710365721
Poland,2020-10-12,4178,32,125816,3004,37972812,2.3876136580403129,0.33133179602290186
Poland,2020-10-13,4394,35,130210,3039,37972812,2.3339221257967897,0.34290323297626729
Poland,2020-10-14,5068,62,135278,3101,37972812,2.2923165629296709,0.35624962407313948
Poland,2020-10-15,6526,116,141804,3217,37972812,2.2686242983272686,0.37343560440032725
Poland,2020-10-16,8099,91,149903,3308,37972812,2.2067603717070372,0.39476402221673762
Poland,2020-10-17,7705,132,157608,3440,37972812,2.1826303233338411,0.41505485556350158
Poland,2020-10-18,9622,84,167230,3524,37972812,2.1072774023799559,0.440394037713088
Poland,2020-10-19,8536,49,175766,3573,37972812,2.0328163581124903,0.46287327891334462
Poland,2020-10-20,7482,41,183248,3614,37972812,1.9721906923950057,0.48257684998414124
Poland,2020-10-21,9291,107,192539,3721,37972812,1.9325954741636759,0.5070443558407
Poland,2020-10-22,10040,130,202579,3851,37972812,1.9009867755295464,0.53348432557483494
Poland,2020-10-23,12107,168,214686,4019,37972812,1.872036369395303,0.56536766357993185
Poland,2020-10-24,13632,153,228318,4172,37972812,1.8272759922564143,0.60126703284444671
Poland,2020-10-25,13628,179,241946,4351,37972812,1.798335165698131,0.63715586825647785
Poland,2020-10-26,11742,87,253688,4438,37972812,1.7493929551259815,0.66807799222243536
Poland,2020-10-27,10241,45,263929,4483,37972812,1.6985628710751755,0.69504728804387728
Poland,2020-10-28,16300,132,280229,4615,37972812,1.6468673834613832,0.73797273691503273
Poland,2020-10-29,18820,236,299049,4851,37972812,1.6221421907446607,0.78753451285093135
Poland,2020-10-30,20156,298,319205,5149,37972812,1.6130699707084788,0.84061459551639206
Poland,2020-10-31,21629,202,340834,5351,37972812,1.569972479271434,0.89757376935898237
Poland,2020-11-01,21897,280,362731,5631,37972812,1.552390063159752,0.95523871131798188
Poland,2020-11-02,17171,152,379902,5783,37972812,1.5222346815757748,1.0004579065674672
Poland,2020-11-03,15578,92,395480,5875,37972812,1.4855365631637503,1.0414819950653114
Poland,2020-11-04,19364,227,414844,6102,37972812,1.4709143678105505,1.0924763749389959
Poland,2020-11-05,24692,373,439536,6475,37972812,1.4731444068290196,1.1575018463209941
Poland,2020-11-06,27143,367,466679,6842,37972812,1.4661041101056613,1.2289819358123912
Poland,2020-11-07,27086,445,493765,7287,37972812,1.4758032667362004,1.3003119179058953
Poland,2020-11-08,27875,349,521640,7636,37972812,1.4638447971781305,1.3737197024018133
Poland,2020-11-09,24785,236,546425,7872,37972812,1.4406368669076268,1.4389900858540579
Poland,2020-11-10,21713,173,568138,8045,37972812,1.4160292041722258,1.4961704705988061
Poland,2020-11-11,25454,330,593592,8375,37972812,1.4109017641747192,1.563202640878953
Poland,2020-11-12,25221,430,618813,8805,37972812,1.4228854274231473,1.6296212142519233
Poland,2020-11-13,22683,275,641496,9080,37972812,1.4154414057141431,1.6893560582239735
Poland,2020-11-14,24051,419,665547,9499,37972812,1.4272470614396879,1.7526934797454559
Poland,2020-11-15,25571,546,691118,10045,37972812,1.4534421039533045,1.8200337652107514
Poland,2020-11-16,21854,303,712972,10348,37972812,1.4513893953759756,1.8775854682555506
