X1;X2;X3;X4;Y
2;0,5;4;0,5;1,67351
6;0,5;4;0,5;0,62179
2;2;4;0,5;1,144
6;2;4;0,5;0,38133
2;0,5;12;0,5;0,10033
6;0,5;12;0,5;0,04805
2;2;12;0,5;0,05448
6;2;12;0,5;0,01939
2;0,5;4;2;1,144
6;0,5;4;2;0,53055
2;2;4;2;1,144
6;2;4;2;0,38133
2;0,5;12;2;0,04237
6;0,5;12;2;0,02903
2;2;12;2;0,04237
6;2;12;2;0,0176
6;1,25;8;1,25;0,06418
4;2;8;1,25;0,07822
4;1,25;12;1,25;0,03215
4;1,25;8;2;0,08537
2;1,25;8;1,25;0,16284
4;0,5;8;1,25;0,13255
4;1,25;4;1,25;0,59352
4;1,25;8;0,5;0,09991
4;1,25;8;1,25;0,09207
